threshold
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
-0.093
-0.093
-0.093
-0.093
-0.093
-0.093
-0.093
-0.093
-0.093
-0.093
-0.093
-0.093
-0.093
-0.093
-0.093
-0.093
-0.093
-0.093
-0.093
-0.093
-0.093
-0.093
-0.093
-0.093
-0.093
-0.093
-0.093
-0.093
-0.093
-0.093
-0.093
-0.150
-0.150
-0.150
-0.150
-0.150
-0.150
-0.150
-0.150
-0.150
-0.150
-0.150
-0.150
-0.150
-0.150
-0.150
-0.150
-0.150
-0.150
-0.150
-0.150
-0.150
-0.150
-0.150
-0.150
-0.150
-0.150
-0.150
-0.150
-0.150
-0.150
-0.150
-0.123
-0.123
-0.123
-0.123
-0.123
-0.123
-0.123
-0.123
-0.123
-0.123
-0.123
-0.123
-0.123
-0.123
-0.123
-0.123
-0.123
-0.123
-0.123
-0.123
-0.123
-0.123
-0.123
-0.123
-0.123
-0.123
-0.123
-0.123
-0.123
-0.123
-0.123
-0.088
-0.088
-0.088
-0.088
-0.088
-0.088
-0.088
-0.088
-0.088
-0.088
-0.088
-0.088
-0.088
-0.088
-0.088
-0.088
-0.088
-0.088
-0.088
-0.088
-0.088
-0.088
-0.088
-0.088
-0.088
-0.088
-0.088
-0.088
-0.088
-0.088
-0.088
-0.062
-0.062
-0.062
-0.062
-0.062
-0.062
-0.062
-0.062
-0.062
-0.062
-0.062
-0.062
-0.062
-0.062
-0.062
-0.062
-0.062
-0.062
-0.062
-0.062
-0.062
-0.062
-0.062
-0.062
-0.062
-0.062
-0.062
-0.062
-0.062
-0.062
-0.062
-0.039
-0.039
-0.039
-0.039
-0.039
-0.039
-0.039
-0.039
-0.039
-0.039
-0.039
-0.039
-0.039
-0.039
-0.039
-0.039
-0.039
-0.039
-0.039
-0.039
-0.039
-0.039
-0.039
-0.039
-0.039
-0.039
-0.039
-0.039
-0.039
-0.039
-0.039
-0.020
-0.020
-0.020
-0.020
-0.020
-0.020
-0.020
-0.020
-0.020
-0.020
-0.020
-0.020
-0.020
-0.020
-0.020
-0.020
-0.020
-0.020
-0.020
-0.020
-0.020
-0.020
-0.020
-0.020
-0.020
-0.020
-0.020
-0.020
-0.020
-0.020
-0.020
-0.004
